radio,mcc,net,area,cell,lat,lon,range,samples
LTE,724,2,32162,34899467,-22.931,-43.9794,1000,16
LTE,724,2,32162,34899721,-22.9186,-43.9275,597,25
LTE,724,2,32162,34899722,-22.9194,-43.9533,1000,6
LTE,724,2,32162,34899727,-22.916,-43.9375,1000,21
LTE,724,2,32162,35193089,-22.9499,-44.0718,3803,39
LTE,724,2,32162,35193091,-22.9555,-44.0841,2737,13
LTE,724,2,32162,35193097,-22.9512,-44.0786,1000,1
LTE,724,2,32162,35193098,-22.9692,-44.0823,1000,2
LTE,724,2,32162,35193099,-22.9542,-44.0846,1000,17
LTE,724,2,32162,35193102,-22.9691,-44.0827,1000,6
LTE,724,2,32162,35193103,-22.965,-44.0861,1000,19
LTE,724,2,32162,35193109,-22.9668,-44.0823,1000,1
LTE,724,2,32162,35206415,-22.9444,-44.0594,3396,50
LTE,724,2,32162,35206423,-22.9668,-44.0823,1000,1
LTE,724,2,32162,35206923,-22.9181,-43.9477,1000,12
LTE,724,2,32162,35206926,-22.9241,-43.9587,1000,13
LTE,724,2,32162,35206927,-22.9177,-43.9425,1000,4
LTE,724,2,32162,35207131,-22.921,-43.9553,1000,7
LTE,724,2,32162,35207177,-22.9076,-43.8901,1000,13
LTE,724,2,32162,35207183,-22.9164,-43.9058,1000,16
LTE,724,2,32162,35207189,-22.9053,-43.8867,1000,4
LTE,724,2,32162,35207683,-22.9421,-44.0387,23772,29
LTE,724,2,32162,35207693,-22.9366,-44.0349,711,35
LTE,724,2,32162,35207695,-22.9386,-44.0466,1000,18
LTE,724,2,32162,35234305,-22.9363,-44.0016,1000,7
LTE,724,2,32162,35234307,-22.938,-44.0069,1000,7
LTE,724,2,32162,35234319,-22.9371,-44.0145,1000,4
LTE,724,2,32162,35234517,-22.934,-43.9885,1000,8
LTE,724,2,32162,35234518,-22.9342,-43.9857,1000,4
LTE,724,2,32165,34913282,-22.8703,-43.1638,1000,14
LTE,724,2,32165,35095051,-22.7848,-42.9652,1000,1
LTE,724,2,32165,35096855,-22.8767,-42.9983,1000,17
LTE,724,2,32165,35097865,-22.785,-42.9818,1000,1
LTE,724,2,32165,35099394,-22.8663,-43.0074,1806,28
LTE,724,2,32165,35099401,-22.8553,-43.024,1000,9
LTE,724,2,32165,35099402,-22.8553,-43.0214,1000,4
LTE,724,2,32165,35103747,-22.8703,-43.1638,1000,8
LTE,724,2,32165,35103755,-22.8709,-43.1566,1000,4
LTE,724,2,32165,35353367,-22.8715,-43.1516,1000,4
LTE,724,2,32165,35353623,-22.8693,-43.1764,1000,4
LTE,724,2,32165,35356950,-22.7942,-43.0319,1000,1
LTE,724,2,32165,35362069,-22.8017,-42.9828,1000,1
LTE,724,2,32165,35362327,-22.8831,-42.987,1000,24
LTE,724,2,32165,35689737,-22.8583,-43.0271,1000,11
LTE,724,2,32165,35689738,-22.8616,-43.0321,1000,9
LTE,724,2,32165,35689750,-22.8658,-43.0363,1000,8
LTE,724,2,32168,34871555,-22.8155,-43.3017,1000,4
LTE,724,2,32168,34871562,-22.8023,-43.2898,1000,1
LTE,724,2,32168,34935310,-22.7563,-43.2886,1000,1
LTE,724,2,32168,34936085,-22.766,-43.2863,1000,1
LTE,724,2,32168,34936087,-22.7613,-43.2932,1000,1
LTE,724,2,32168,34936125,-22.7729,-43.2862,1000,1
LTE,724,2,32168,34936127,-22.7599,-43.2901,1000,1
LTE,724,2,32168,34936163,-22.7356,-43.2897,1000,1
LTE,724,2,32168,34946305,-22.7597,-43.2949,1000,1
LTE,724,2,32168,35195340,-22.7571,-43.2897,1000,1
LTE,724,2,32168,35195358,-22.761,-43.2883,1000,1
LTE,724,2,32168,35195360,-22.7573,-43.2895,1000,1
LTE,724,2,32168,35195671,-22.7952,-43.2882,1000,1
LTE,724,2,32168,35195839,-22.7866,-43.2852,1000,1
LTE,724,2,32168,35195840,-22.7883,-43.2849,1000,1
LTE,724,2,32168,35195844,-22.7958,-43.2857,1000,1
LTE,724,2,32168,35279809,-22.7541,-43.2944,1000,1
LTE,724,2,32168,35279810,-22.7552,-43.2967,1000,1
LTE,724,2,32168,35279829,-22.7542,-43.2938,1000,1
LTE,724,2,32168,35279830,-22.7549,-43.2974,1000,1
LTE,724,2,32168,35285526,-22.7862,-43.289,1000,1
LTE,724,2,32168,35341313,-22.7443,-43.2882,1000,1
LTE,724,2,32168,35341314,-22.7546,-43.2801,1000,1
LTE,724,2,32168,35341321,-22.7401,-43.2882,1000,1
LTE,724,2,32168,35341322,-22.7545,-43.2791,1000,1
LTE,724,2,32168,35341334,-22.7555,-43.28,1000,1
LTE,724,2,32169,34829577,-22.5685,-43.2642,1245,21
LTE,724,2,32169,34829578,-22.5596,-43.2456,2186,27
LTE,724,2,32169,34829589,-22.5694,-43.2684,1000,1
LTE,724,2,32169,34838025,-22.7536,-43.4571,1000,2
LTE,724,2,32169,34838029,-22.7536,-43.4571,1000,1
LTE,724,2,32169,34838031,-22.7536,-43.4571,1000,1
LTE,724,2,32169,34857217,-22.6682,-43.2723,1000,1
LTE,724,2,32169,34857227,-22.6712,-43.2876,1000,13
LTE,724,2,32169,34857237,-22.6717,-43.284,1000,7
LTE,724,2,32169,34857239,-22.6729,-43.2854,1000,1
LTE,724,2,32169,34857485,-22.5296,-43.2355,1000,4
LTE,724,2,32169,34857493,-22.531,-43.2359,1000,4
LTE,724,2,32169,34893505,-22.6771,-43.2896,1000,1
LTE,724,2,32169,34893516,-22.6825,-43.289,1000,1
LTE,724,2,32169,34893525,-22.677,-43.2894,1000,1
LTE,724,2,32169,34893577,-22.6709,-43.2938,1000,11
LTE,724,2,32169,34893579,-22.6704,-43.298,1000,6
LTE,724,2,32169,34893591,-22.6708,-43.2955,739,26
LTE,724,2,32169,34894601,-22.6565,-43.2839,1000,11
LTE,724,2,32169,34894603,-22.6602,-43.2841,1000,7
LTE,724,2,32169,34894613,-22.6523,-43.2836,608,26
LTE,724,2,32169,34948375,-22.7695,-43.3961,1000,1
LTE,724,2,32169,35000073,-22.6664,-43.2624,1000,1
LTE,724,2,32169,35000085,-22.6671,-43.2646,1000,1
LTE,724,2,32169,35001097,-22.6697,-43.3038,1000,16
LTE,724,2,32169,35001099,-22.6669,-43.3207,1320,46
LTE,724,2,32169,35001111,-22.6683,-43.312,1550,22
LTE,724,2,32169,35001871,-22.6659,-43.3699,1281,43
LTE,724,2,32169,35196425,-22.6808,-43.2858,1000,1
LTE,724,2,32169,35196427,-22.6885,-43.2868,1000,1
LTE,724,2,32169,35196673,-22.5912,-43.2725,9099,31
LTE,724,2,32169,35196674,-22.6119,-43.2886,2393,50
LTE,724,2,32169,35196681,-22.604,-43.283,1456,17
LTE,724,2,32169,35196685,-22.5822,-43.2622,1000,4
LTE,724,2,32169,35196694,-22.6158,-43.2862,1000,3
LTE,724,2,32169,35197706,-22.6512,-43.2837,1000,11
LTE,724,2,32169,35197707,-22.6462,-43.2837,1000,9
LTE,724,2,32169,35278345,-22.6656,-43.3349,1000,6
LTE,724,2,32169,35278357,-22.527,-43.2345,1000,4
LTE,724,2,32169,35279881,-22.6089,-43.2846,1401,22
LTE,724,2,32169,35279882,-22.6029,-43.2831,1013,39
LTE,724,2,32169,35280393,-22.6223,-43.2868,1000,21
LTE,724,2,32169,35280397,-22.6158,-43.2862,1000,1
LTE,724,2,32169,35280398,-22.6158,-43.2862,1000,1
LTE,724,2,32169,35280405,-22.6207,-43.2867,1000,18
LTE,724,2,32169,35280581,-22.6385,-43.2842,1065,43
LTE,724,2,32169,35280582,-22.6304,-43.2862,1000,4
LTE,724,2,32169,35280583,-22.6264,-43.2863,1000,4
LTE,724,2,32169,35280602,-22.6354,-43.2848,1000,21
LTE,724,2,32169,35280603,-22.6288,-43.2859,1000,6
LTE,724,2,32169,35280911,-22.6468,-43.2255,1000,1
LTE,724,2,32169,35281929,-22.5684,-43.2716,3711,18
LTE,724,2,32169,35281931,-22.583,-43.2667,1010,21
LTE,724,2,32169,35282441,-22.6645,-43.285,1000,13
LTE,724,2,32169,35282455,-22.6599,-43.2841,1000,11
LTE,724,2,32169,35282628,-22.6689,-43.2852,1000,11
LTE,724,2,32169,35282629,-22.6719,-43.2871,1000,6
LTE,724,2,32169,35282631,-22.6632,-43.2846,1000,6
LTE,724,2,32169,35282648,-22.6686,-43.2856,1000,4
LTE,724,2,32169,35285774,-22.7301,-43.3042,1000,1
LTE,724,2,32169,35285977,-22.7284,-43.3036,1000,1
LTE,724,2,32169,35298573,-22.6879,-43.4375,1000,14
LTE,724,2,32169,35379715,-22.7795,-43.3956,1000,1
LTE,724,2,32169,35381271,-22.8052,-43.3449,1000,1
LTE,724,2,32169,35662601,-22.5751,-43.2603,1000,20
LTE,724,2,32169,35662602,-22.5912,-43.2738,3823,39
LTE,724,2,32169,35662603,-22.5561,-43.2613,1000,21
LTE,724,2,32169,35662614,-22.5737,-43.2718,1000,1
LTE,724,2,32170,35096079,-22.9029,-42.9632,2190,50
LTE,724,2,32170,35096086,-22.8981,-42.9863,1000,14
LTE,724,2,32170,35611158,-22.8994,-42.9469,1000,14
LTE,724,2,32173,34902539,-22.7458,-42.8364,1000,1
LTE,724,2,32173,34907403,-22.767,-42.8711,1000,1
LTE,724,2,32173,34933769,-22.7108,-42.6296,1000,1
LTE,724,2,32173,34958346,-22.7371,-42.7299,1000,1
LTE,724,2,32173,34958458,-22.7368,-42.7324,1000,1
LTE,724,2,32173,34992130,-22.6464,-43.1821,1000,1
LTE,724,2,32173,34993934,-22.6663,-43.1161,1000,1
LTE,724,2,32173,34995989,-22.7359,-42.8016,1000,1
LTE,724,2,32173,34996489,-22.6646,-42.7706,1000,8
LTE,724,2,32173,34997770,-22.7472,-42.8574,1000,1
LTE,724,2,32173,34997771,-22.7479,-42.8678,1000,1
LTE,724,2,32173,34998283,-22.7257,-42.9507,1000,1
LTE,724,2,32173,35087625,-22.7699,-42.9173,1000,1
LTE,724,2,32173,35087627,-22.7674,-42.9227,1000,1
LTE,724,2,32173,35087874,-22.7553,-42.8896,1000,1
LTE,724,2,32173,35088138,-22.6568,-43.08,1000,1
LTE,724,2,32173,35088151,-22.6639,-43.0929,1000,1
LTE,724,2,32173,35088250,-22.6572,-43.0695,1000,1
LTE,724,2,32173,35377675,-22.6573,-43.0455,1000,1
LTE,724,2,32173,35686934,-22.6722,-42.9801,1000,1
LTE,724,2,32173,35689226,-22.6566,-43.0639,1000,1
